episode,episode_reward,epsilon,num_AV,num_HV,avg_dur_AV,avg_dur_HV,avg_wait_AV,avg_wait_HV,avg_loss_AV,avg_loss_HV,avg_len_AV,avg_len_HV,avg_reroute_AV
1,-62401.567532997586,0.99604,53,158,154.64150943396226,140.5253164556962,40.528301886792455,47.22784810126582,83.95603773584905,89.12227848101263,988.2701886792452,712.465,21.0188679245283
2,-78209.25051706504,0.99208,40,136,142.625,136.88235294117646,42.1,44.10294117647059,77.7535,84.91742647058824,900.86475,722.4253676470589,21.45
3,-63076.26971838624,0.98812,71,144,180.7323943661972,135.86111111111111,63.83098591549296,46.9375,106.95929577464788,83.95090277777778,1033.3547887323944,718.625138888889,30.070422535211268
4,-69873.67891880257,0.98416,53,120,124.60377358490568,129.825,33.9811320754717,43.95,65.04943396226415,77.71208333333334,849.2030188679242,712.5354166666667,15.452830188679243
5,-42305.17677363068,0.9802,36,104,92.25,98.15384615384616,10.22222222222222,22.384615384615383,33.53194444444445,47.94528846153847,808.7008333333333,688.8023076923077,11.194444444444445
6,-58369.39556834656,0.97624,55,132,156.25454545454545,132.86363636363637,42.52727272727272,45.39393939393939,86.46163636363637,81.2178787878788,963.4849090909088,716.6475757575759,23.254545454545458
7,-54291.19647619387,0.97228,26,123,177.34615384615384,159.3252032520325,77.3076923076923,69.39024390243902,115.81846153846156,109.63674796747968,849.69,689.4749593495935,31.76923076923077
8,-59268.521401448284,0.96832,56,137,137.625,126.12408759124088,37.035714285714285,37.54744525547445,77.34767857142857,75.35686131386862,842.9155357142857,712.7271532846715,19.535714285714285
9,-56276.48068537003,0.96436,56,140,161.94642857142858,139.17857142857142,35.142857142857146,50.857142857142854,83.06625,88.0859285714286,1095.6514285714286,708.0125714285715,17.517857142857142
10,-52709.738595121904,0.9604,54,164,165.62962962962962,162.0487804878049,49.81481481481482,62.73780487804878,93.49666666666664,110.66731707317076,1013.9087037037036,713.4535975609757,22.555555555555557
11,-61875.153861528524,0.95644,55,140,144.38181818181818,128.61428571428573,25.76363636363636,36.75714285714286,66.23545454545453,75.9792142857143,1088.0072727272725,719.9412142857142,18.618181818181817
12,-57599.27547674227,0.95248,46,118,141.95652173913044,113.27118644067797,35.21739130434783,30.440677966101696,75.3667391304348,62.54457627118643,906.235652173913,709.4933898305082,21.58695652173913
13,-55875.90005913884,0.94852,52,125,157.6153846153846,114.728,36.69230769230769,32.584,80.8775,63.78696000000001,1057.6630769230767,705.3664800000001,19.78846153846154
14,-57283.06045155228,0.94456,61,142,145.91803278688525,121.26760563380282,27.983606557377048,33.274647887323944,70.59049180327868,69.98922535211268,1052.8690163934425,719.3425352112675,21.442622950819672
15,-65609.92592084518,0.9406,43,130,151.6046511627907,134.36153846153846,38.95348837209303,45.00769230769231,81.22232558139535,82.89823076923078,991.866511627907,709.434923076923,22.27906976744186
16,-72570.65401471121,0.93664,60,146,158.91666666666666,127.33561643835615,35.666666666666664,35.82876712328767,84.98183333333334,75.58082191780824,1028.2646666666667,716.7798630136987,20.8
17,-58487.169179248864,0.93268,50,137,196.8,143.43065693430657,66.2,51.481751824817515,118.9946,92.21072992700728,1093.8644,714.2822627737226,29.52
18,-85477.76022176123,0.92872,43,121,143.65116279069767,121.13223140495867,25.79069767441861,36.05785123966942,61.82209302325581,69.25834710743801,1121.2216279069764,723.8527272727272,16.3953488372093
19,-64338.00509701732,0.92476,44,125,143.0681818181818,124.24,25.704545454545453,37.984,65.54590909090909,73.14416,1064.1472727272726,708.69008,16.454545454545453
20,-60860.249216849545,0.9208,53,158,156.43396226415095,157.24683544303798,51.9811320754717,58.43037974683544,93.40207547169813,105.55,883.2766037735848,717.4212658227848,24.30188679245283
21,-66153.02572277795,0.91684,54,132,126.48148148148148,115.78787878787878,32.0,32.416666666666664,62.73055555555555,64.46530303030305,893.1198148148147,716.4876515151515,17.51851851851852
22,-49486.376626737205,0.91288,50,136,156.68,123.56617647058825,33.74,33.43382352941177,80.92739999999999,71.74330882352942,1046.4236,719.6123529411765,22.44
23,-56424.26197830283,0.90892,51,127,170.4313725490196,126.5984251968504,52.78431372549019,41.118110236220474,100.41,75.51629921259841,989.4960784313724,710.8700787401575,27.352941176470587
24,-63993.8318861802,0.90496,62,142,160.4193548387097,125.47887323943662,41.903225806451616,36.95070422535211,86.83870967741937,74.13640845070424,1028.3130645161289,710.7983802816901,23.79032258064516
25,-62431.90388553231,0.901,50,135,130.78,145.59259259259258,35.76,55.07407407407408,68.4966,94.16711111111113,862.457,718.8861481481481,19.44
26,-53593.72485303146,0.8970400000000001,46,128,148.7826086956522,118.7265625,33.65217391304348,32.4140625,75.5036956521739,67.04953125,1041.7208695652173,714.4649218750001,19.956521739130434
27,-51256.35242101982,0.89308,58,138,123.84482758620688,125.54347826086956,30.58620689655172,39.76086956521739,64.87862068965518,74.8486231884058,810.9008620689655,704.6565217391304,17.29310344827586
28,-59725.07364202384,0.88912,50,135,139.06,129.3111111111111,31.38,41.05925925925926,71.3352,77.85711111111111,960.0916,716.288074074074,17.34
29,-51683.24193068506,0.88516,62,144,159.61290322580646,143.38888888888889,43.67741935483871,52.048611111111114,87.89403225806454,91.89631944444444,1007.2482258064514,713.1061111111112,23.177419354838708
