episode,episode_reward,epsilon,num_AV,num_HV,avg_dur_AV,avg_dur_HV,avg_wait_AV,avg_wait_HV,avg_loss_AV,avg_loss_HV,avg_len_AV,avg_len_HV,avg_reroute_AV
1,-0.3860339198259662,0.9901,0,2,0.0,31.5,0.0,0.0,0.0,4.795,0.0,379.715,0.0
2,31.000856319304383,0.9802,3,2,29.666666666666668,32.5,0.0,0.5,2.8733333333333335,6.234999999999999,385.7633333333333,379.715,2.3333333333333335
3,-1.189111554299065,0.9703,0,2,0.0,31.5,0.0,0.0,0.0,4.86,0.0,379.715,0.0
4,8.84475506456547,0.9604,1,2,14.0,33.5,0.0,0.5,1.18,5.83,184.5,379.715,0.0
5,-1.7664411988433135,0.9505,0,2,0.0,35.0,0.0,0.5,0.0,5.545,0.0,379.715,0.0
6,1.7738088203712183,0.9406,0,2,0.0,32.0,0.0,0.0,0.0,4.6850000000000005,0.0,379.715,0.0
7,-0.2521554318163014,0.9307,0,2,0.0,33.5,0.0,0.0,0.0,7.005,0.0,379.715,0.0
8,22.341106886222978,0.9208,2,2,21.0,32.5,0.0,0.0,1.48,5.325,286.5,379.715,1.0
9,-5.014687742899252,0.9109,0,2,0.0,33.5,0.0,0.5,0.0,5.875,0.0,379.715,0.0
10,10.535902199932066,0.901,1,2,46.0,33.0,0.0,0.5,5.68,6.220000000000001,584.29,379.715,5.0
11,10.24812644586055,0.8911,1,2,28.0,33.0,0.0,0.5,1.78,6.195,388.5,379.715,1.0
12,-0.6244011493932332,0.8812,0,2,0.0,33.0,0.0,0.5,0.0,6.55,0.0,379.715,0.0
13,-0.2033063814497536,0.8713,0,2,0.0,33.5,0.0,0.5,0.0,7.04,0.0,379.715,0.0
14,3.871800728651291,0.8613999999999999,1,2,14.0,31.5,0.0,0.0,1.18,5.11,184.5,379.715,0.0
15,11.013155976942752,0.8515,1,2,14.0,34.0,0.0,0.5,1.13,5.46,184.5,379.715,0.0
16,5.860347353296182,0.8416,1,2,14.0,33.5,0.0,0.5,1.18,6.98,184.5,379.715,0.0
17,-7.429884028543311,0.8317,0,2,0.0,35.0,0.0,0.5,0.0,7.965,0.0,379.715,0.0
18,15.909108730063773,0.8218000000000001,2,2,21.0,36.5,0.0,0.0,1.38,8.145,286.5,379.715,0.5
19,15.437642233117629,0.8119000000000001,1,2,32.0,33.5,0.0,0.5,1.19,6.01,388.5,379.715,1.0
20,12.44289990357137,0.802,1,2,47.0,34.0,0.0,0.5,6.04,6.655,584.29,379.71500000000003,7.0
